country,avg_size_all,avg_size_couple_with_children,avg_size_single_parent_with_children,share_couple_total,share_couple_with_children,share_couple_without_children,share_single_parent_total,share_single_mother,share_single_father,share_single_person,share_other_types,share_hh_0_children,share_hh_1_child,share_hh_2_children,share_hh_3plus_children
Czechia,2.3,3.7,2.4,47.025111949085264,21.703808132374654,25.32130381671061,7.154101947321727,6.112637634339422,1.0414643129823045,39.15039664965803,6.670389453934984,71.95226478538933,13.852442803454867,11.56018549042878,2.635106920727017
Denmark,1.9,3.9,2.5,48.59697982817776,20.408734466100718,28.18813295710139,6.308204701450511,5.1142015818377535,1.1940031196127574,37.57421070162811,7.520454895442764,77.77527800989908,10.541878254162112,8.944526579674744,2.738317156264061
EU average,2.262962962962963,,,47.97451841442698,22.0906252989661,25.883876887232596,6.70764756407761,5.532232893269598,1.1754146708080124,34.00138284800714,11.316719822957422,75.10075842780141,12.28353194549574,9.461296108668828,3.1513750900176727
Estonia,1.8,3.8,2.6,46.19971334716151,25.4647425910924,20.734970756069117,6.8285691394183266,6.090749659488476,0.7378194799298502,36.99156955782465,9.980147955595516,75.75510204081633,12.53061224489796,8.73469387755102,2.9795918367346936
Finland,1.9,4.0,2.6,45.63784029956482,17.056363583789956,28.581476715774862,5.4277690227998905,4.497122905431781,0.9306461173681091,45.33596223632657,3.5983561525004695,81.98305084745763,7.888135593220339,6.986440677966102,3.142372881355932
France,2.1,3.9,2.6,49.72711406708301,22.188117606312165,27.538996460770836,7.676366174926671,6.228669920881452,1.4476962540452198,37.78405019860812,4.812469559382205,75.3555167029741,11.42608711912264,9.226449258424726,3.9916352677555778
Germany,2.0,3.8,2.5,45.78152321692019,17.888932794490035,27.892602981240554,5.411382923956302,4.436141061362147,0.9752418625941559,43.139666932310625,5.66742692681288,79.86279507396202,9.914961530216049,7.716347871656226,2.5056573211691004
Greece,2.6,3.8,2.5,52.138468661813675,24.02723542313049,28.11123323868318,4.66270093152921,3.820243806847218,0.8424571246819926,32.34761610415918,10.851375874044363,74.3113860656945,11.832866892522217,9.969558599695587,3.8886433937251432
Hungary,2.3,3.7,2.4,45.25398130699179,20.432837864033047,24.821143442958746,7.073477071388747,5.705424249751699,1.3680528216370471,34.41937066472689,13.253170956892571,74.97959688388772,13.1569185111908,8.705329541239024,3.158155063682453
Iceland,2.7019312337121413,4.119077681577681,2.608645952405695,45.19484291053046,25.4216692523443,19.773173658186153,7.354278595938831,6.231610482311672,1.122668113627158,29.16185832524513,18.2890201682856,,,,
Ireland,2.4,4.0,2.7,53.02712062655892,29.449109545247236,23.57801108131169,6.9256561389113775,6.1224356190629985,0.8032205198483794,23.135620590552296,16.9116026439774,69.02056277056276,12.418831168831169,12.184343434343434,6.376262626262627
Israel,3.19,4.64947598253275,2.863296703296703,64.5,45.800000000000004,18.7,9.100000000000001,,,26.4,,,,,
Italy,2.2,3.6,2.4,46.70412541077324,20.906322272748838,25.7978031380244,7.274459279304375,5.649392889777314,1.6250663895270616,36.6380649614826,9.383350348439787,77.78956332641407,12.26305344556217,8.282959617387865,1.6644236106358874
Japan,2.2109883809425983,3.8548049935420434,2.7277590903647764,45.073248339209506,15.668254179713905,29.4049941594956,2.503513646516398,2.257533706744799,0.24597993977159913,37.96977177018868,14.453466244085423,81.93822081833541,8.782046573128627,7.165944317931388,2.113788290604569
Korea,2.214023838365131,3.5534419339338674,2.3433954302309705,43.48048883625986,26.248858455142667,17.231630381117192,9.125676534368122,6.849305387113162,2.27637114725496,35.4685768117095,11.925257817662526,78.51664904496221,9.000954915467918,9.82417196488151,2.6582240746883614
Latvia,2.1,3.7,2.5,27.800585372477794,12.205404147075441,15.595181225402351,13.43652927953597,11.207918775325119,2.2286105042108506,41.083860548465395,17.67902479952084,74.79886685552408,14.05099150141643,8.31728045325779,2.8328611898017
Lithuania,1.7,3.7,2.4,50.089191679831494,23.741196024223278,26.347995655608216,7.17902514481306,6.67612888362296,0.5028962611901001,35.155838599262765,7.57594457609268,80.43700102046941,11.057086259679451,6.999219641034875,1.5066930788162556
Luxembourg,2.3,3.7,2.5,53.059577460287024,26.859398472208905,26.200178988078115,6.6317480103557385,5.388819637549141,1.242928372806597,28.869818135327773,11.438856394029468,72.99755159146555,12.486883525708292,12.067156348373558,2.4134312696747116
Malta,2.5,3.7,2.5,46.92082655280007,21.114001047795224,25.806825505004845,5.6808119022119605,4.557909231261388,1.1229026709505727,32.51225132249375,14.88981923214228,76.48916967509025,12.680505415162454,7.806859205776173,2.9783393501805056
Mexico,3.56,4.08,2.76,50.35735175634647,39.01616318978192,11.341188566564552,11.216617582127462,,,12.464293273673238,25.961737387852832,50.23387974086834,22.83395006485064,17.40308278780838,9.529087406472646
Netherlands,2.0,3.9,2.6,53.60123767893923,23.00751058968156,30.593727089257673,6.098420788212213,5.0041630182497725,1.0942577699624403,38.50486663484779,1.7954748980007689,78.65249212525477,8.77686677783954,9.272512506948305,3.2969705391884374
New Zealand,2.6074078067897877,3.8839697804024844,2.668222118525432,57.32812521954166,29.253136811341697,28.074988408199967,10.387306627699484,,,22.79439659411839,9.490171558640462,67.3700456868229,13.68952296909855,12.745727077924245,6.194528479994656
Norway,2.0,3.9,2.4,47.042061528036726,22.995524188994537,24.04653733904219,6.310318933730655,4.7651635682060896,1.5451553655245653,42.13662021782677,4.510999320405854,76.87046864489125,10.527692652664623,9.1374542192989,3.4681216832349198
OECD average,2.3855286356010548,,,,,,,,,,,,,,
OECD-30 average,,,,,,,,,,,,72.33068441383438,12.778025518833196,10.529107069384574,4.361039835025837
OECD-36 average,,,,49.05174819977244,,,7.3802287036841365,,,32.10620403989249,11.46181322881247,,,,
Poland,2.3,3.7,2.5,48.32108894111276,23.920365853707384,24.400723087405375,5.969036061040241,5.147507507459393,0.8215285535808489,23.43550634744326,22.27435262808144,74.39027522700127,12.909212334484929,9.842287093998433,2.858225344515367
Portugal,2.4,3.5,2.4,57.1738518462817,25.76520282972484,31.40864901655686,7.221597186471462,6.2375274035597155,0.9840697829117475,24.773372320139135,10.831178647107707,74.352267900655,15.871951355822322,8.177408177408177,1.5983725661145014
Romania,2.5,3.8,2.4,45.66102647779473,20.733677262791602,24.92734921500313,6.503112734119855,4.564712090416323,1.9384006437035317,33.62588221589986,14.209978572185559,72.45800235266128,14.287791274005738,9.23617811496319,4.019349978191624
Slovak Republic,3.1,3.8,2.5,37.153957731105784,16.994268134915476,20.15968959619031,6.230566233165999,5.389510975758213,0.8410552574077856,31.404296629176393,25.211179406551825,64.40982277308004,17.08560176068574,14.485115255415268,4.019460210818951
Slovenia,2.4,3.9,2.5,45.4139537696765,20.97182774238121,24.44212602729529,6.932338662591215,5.5705981283627715,1.3617405342284439,33.99710624321049,13.656601324521796,74.99711016067506,11.247254652641313,10.195353138365506,3.5602820483181135
Spain,2.5,3.7,2.4,50.872978872954924,25.45829995140573,25.414689709487824,8.572360341099516,6.886922930912477,1.6854374101870395,26.97613594701353,13.578514050993398,74.60727615766376,13.543845617489028,8.948053812394898,2.9008244124523195
Sweden,2.1,3.9,2.6,49.27214281122088,22.490881426397788,26.78126138482309,6.666266635235625,4.9065212266678095,1.7597454085678161,39.24023316117695,4.821357392366544,74.84036025542359,10.772302764315576,9.825904278553155,4.559352705035672
Switzerland,2.2140802815759684,4.017677366526471,2.584312594229482,53.76768192594362,24.046549842848634,29.72102979598068,4.6982261624355175,3.8784205130670513,0.8198056493684667,36.879491203436025,4.654600708184836,,,,
Türkiye,3.2,4.1,2.8,54.37940313305658,40.83922306159697,13.54018007145961,10.064811718261229,7.754038488923317,2.3107732293379115,18.877345144754802,16.67844000392739,57.61922875575759,17.424741732230085,14.503293549614153,10.453112583280292
United Kingdom,2.3,3.9,2.8,53.71777792871729,20.28527709963887,33.43247944730101,7.480699916803505,,,30.81260589770715,7.988916256772054,72.05797161418462,12.095350408959876,11.314671521772114,4.532006455083377
United States,2.51,,,53.18549368313131,19.8462673708172,33.33922631231411,6.797399067227115,5.212952336734387,1.5844467304927283,27.611972251796637,12.405134997844932,,,,
