"Crude marriage rate"
"Marriages per 1,000 people in a given year"
"Category";"2022";"1970"
"Hungary";6,6;9,3
"United States";6,2;10,6
"Austria";5,2;7,1
"Germany";4,7;7,4
"Costa Rica";4,4;6,3
"Japan";4,3;10
"OECD";4,3;8,3
"Netherlands";4;9,5
"Italy";3,2;7,3
