Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Austria,"1,4","1,3","1,3","1,3","1,4","1,4","1,5","1,5","1,6","1,7","1,8","1,8","1,9","1,9","2,0","2,0","1,9","1,9","2,0","2,0","2,1","2,1","2,1","2,1","2,1","2,3","2,3","2,3","2,2","2,3","2,4","2,6","2,5","2,3","2,4","2,4","2,5","2,5","2,4","2,3","2,1","2,1","2,0","1,9","1,9","1,9","1,8","1,8","1,8","1,8","1,7","1,6","1,5"
Belgium,"0,7","0,7","0,8","0,9","1,0","1,1","1,3","1,3","1,4","1,4","1,5","1,6","1,6","1,7","1,9","1,9","1,9","2,0","2,1","2,0","2,0","2,1","2,2","2,1","2,2","3,5","2,8","2,6","2,6","2,6","2,6","2,8","3,0","3,0","3,0","2,9","2,8","2,8","3,3","3,0","2,7","2,5","2,3","2,2","2,2","2,2","2,1","2,0","2,0","2,0","1,8","1,9","1,7"
Czechia,"2,2","2,4","2,3","2,5","2,5","2,6","2,5","2,5","2,6","2,5","2,6","2,7","2,7","2,8","3,0","2,9","2,9","3,0","3,0","3,0","3,1","2,8","2,8","2,9","3,0","3,0","3,2","3,2","3,1","2,3","2,9","3,1","3,1","3,8","3,2","3,1","3,1","3,0","3,0","2,8","2,9","2,7","2,5","2,7","2,5","2,5","2,4","2,4","2,3","2,3","2,0","2,0","1,9"
Denmark,"1,9","2,7","2,6","2,5","2,6","2,6","2,6","2,6","2,6","2,5","2,7","2,8","2,9","2,9","2,8","2,8","2,8","2,8","2,9","3,0","2,7","2,5","2,5","2,5","2,6","2,5","2,4","2,4","2,5","2,5","2,7","2,7","2,8","2,9","2,9","2,8","2,6","2,6","2,7","2,7","2,6","2,6","2,8","3,4","3,4","2,9","3,0","2,6","2,6","1,8","2,7","2,2","2,1"
Estonia,"3,2","3,2","3,3","3,2","3,3","3,4","3,6","3,9","3,8","4,1","4,1","4,1","3,9","4,2","4,1","4,0","3,9","3,9","3,8","3,8","3,7","3,7","4,3","3,9","3,8","5,2","4,0","3,8","3,2","3,3","3,0","3,1","3,0","2,9","3,1","3,0","2,8","2,8","2,6","2,4","2,2","2,3","2,4","2,5","2,4","2,6","2,5","2,5","2,4","2,1","1,9",,"1,9"
Finland,"1,3","1,6","1,8","1,9","2,1","2,0","2,1","2,1","2,2","2,1","2,0","2,0","2,0","2,0","2,0","1,8","2,0","2,0","2,5","2,9","2,6","2,6","2,6","2,5","2,7","2,7","2,7","2,6","2,7","2,7","2,7","2,6","2,6","2,6","2,5","2,6","2,5","2,5","2,5","2,5","2,5","2,5","2,4","2,5","2,5","2,5","2,5","2,4","2,4","2,4","2,4","2,2","2,0"
Germany,"1,3","1,4","1,5","1,6","1,8","1,9","2,0","1,5","1,0","1,6","1,8","2,0","2,1","2,2","2,3","2,3","2,3","2,3","2,3","2,2","1,9","1,7","1,7","1,9","2,0","2,1","2,1","2,3","2,3","2,3","2,4","2,4","2,5","2,6","2,6","2,4","2,3","2,3","2,3","2,3","2,3","2,3","2,2","2,1","2,1","2,0","2,0","1,9","1,8","1,8","1,7","1,7","1,6"
Greece,"0,4","0,4","0,4","0,5","0,4","0,4","0,4","0,5","0,5","0,5","0,7","0,7","0,6","0,6","0,9","0,8","0,9","0,9","0,8","0,6","0,6","0,6","0,6","0,7","0,7","1,0","0,9","0,9","0,7","0,9","1,0","1,0","1,0","1,1","1,1","1,2","1,2","1,2","1,2","1,2","1,2","1,1","1,3","1,5","1,3","1,4","1,0","1,8",,,,,
Hungary,"2,2","2,3","2,3","2,4","2,3","2,5","2,6","2,6","2,7","2,6","2,6","2,6","2,7","2,7","2,7","2,8","2,8","2,8","2,3","2,4","2,4","2,4","2,1","2,2","2,3","2,4","2,2","2,4","2,5","2,5","2,3","2,4","2,5","2,5","2,4","2,5","2,5","2,5","2,5","2,4","2,4","2,3","2,2","2,0","2,0","2,1","2,0","1,9","1,7","1,8","1,5","1,9","1,8"
Italy,..,"0,3","0,6","0,3","0,3","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,3","0,2","0,3","0,3","0,3","0,5","0,5","0,5","0,5","0,5","0,5","0,4","0,5","0,5","0,6","0,6","0,6","0,6","0,7","0,7","0,7","0,8","0,8","0,8","0,9","0,9","0,9","0,9","0,9","0,9","0,9","0,9","0,9","1,4","1,6","1,5","1,5","1,4","1,1","1,4","1,4"
Japan,"0,9","1,0","1,0","1,0","1,0","1,1","1,1","1,1","1,2","1,2","1,2","1,3","1,4","1,5","1,5","1,4","1,4","1,3","1,3","1,3","1,3","1,4","1,5","1,5","1,6","1,6","1,7","1,8","1,9","2,0","2,1","2,3","2,3","2,3","2,2","2,1","2,0","2,0","2,0","2,0","2,0","1,9","1,9","1,8","1,8","1,8","1,7","1,7","1,7","1,7","1,6","1,47","1,52"
Korea,"0,4","0,3","0,4","0,4","0,4","0,5","0,5","0,6","0,5","0,5","0,6","0,6","0,7","0,7","0,9","0,9","0,9","1,0","1,0","1,0","1,1","1,1","1,2","1,3","1,4","1,5","1,7","2,0","2,5","2,5","2,5","2,8","3,0","3,4","2,9","2,6","2,5","2,5","2,4","2,5","2,3","2,3","2,3","2,3","2,3","2,1","2,1","2,1","2,1","2,2","2,1","2,0","1,8"
