Country,Age group,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Austria,35-39,"53,1","54,5","53,2","52,7","51,9","50,2","48,5","46,5","45,2","44,0","40,0","39,1","36,1","33,2","31,4","28,5","24,1","21,9","19,4","19,1","19,0","19,2","19,5","18,8","19,1","18,3","18,0","18,6","18,7","19,5","20,6","21,9","22,5","22,6","22,8","22,7","23,8","24,4","24,1","24,7","25,2","25,8","28,7","30,3","32,5","33,2","34,4","35,8","38,1","39,7","42,6","44,0","45,9","47,5","49,3","52,2","55,2","55,8","55,1","55,9","53,9","57,9"
Austria,40-44,"17,4","18,7","18,7","17,2","17,1","15,4","14,5","13,4","12,6","11,8","11,3","11,5","10,9","9,8","9,6","8,3","7,0","6,7","5,9","5,3","5,3","5,1","4,7","4,0","3,6","3,6","3,5","3,8","3,6","3,7","3,9","3,5","3,7","4,0","4,0","4,0","4,3","4,5","4,4","4,9","4,7","5,1","5,5","5,9","5,9","6,2","6,7","6,8","7,3","7,8","8,0","8,6","8,9","9,4","9,6","10,5","11,1","11,1","11,7","12,3","11,8","12,7"
Austria,45-49,"1,1","1,0","0,8","0,8","1,1","1,3","1,2","1,1","1,1","0,8","0,7","0,8","0,6","0,6","0,5","0,5","0,4","0,5","0,4","0,4","0,4","0,4","0,3","0,3","0,3","0,3","0,2","0,2","0,2","0,2","0,2","0,2","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,1","0,3","0,3","0,3","0,2","0,3","0,3","0,3","0,4","0,3","0,4","0,4","0,5","0,5","0,5","0,6","0,6","0,6","0,8","0,8","0,8","0,6"
Belgium,15-19,"25,4","25,9","26,4","27,8","28,8","30,2","31,5","31,1","30,0","30,4","31,2","32,6","32,0","31,0","29,6","28,0","26,8","25,0","23,4","21,8","20,2","18,9","17,4","15,9","14,1","12,5","12,1","11,4","11,7","11,0","11,5","11,9","11,7","11,0","10,2","9,8","10,1","10,0","10,1","10,6","11,5","11,8","10,9","10,7","10,7","10,5","10,4","10,5","10,3","10,3","9,6","9,4","8,8","7,3","7,2","6,6","6,2","5,9","5,5","5,1","4,9","4,5"
Belgium,20-24,"150,4","158,4","158,8","166,8","167,7","164,9","160,9","156,4","150,6","149,5","150,6","149,1","141,6","133,9","125,9","119,6","118,4","116,4","116,0","115,1","114,4","113,6","107,6","101,8","96,6","89,8","88,0","84,1","81,9","79,5","78,7","78,8","74,8","70,3","66,4","63,4","63,1","61,6","60,0","60,4","61,6","60,8","58,3","57,9","59,0","57,8","58,2","58,0","59,2","57,7","56,3","53,2","50,9","46,5","44,7","42,1","41,3","38,1","35,7","34,5","34,1","31,4"
Belgium,25-29,"161,7","168,1","163,8","170,0","171,9","165,1","158,4","151,4","146,2","145,9","144,9","142,1","135,9","127,7","122,4","119,2","121,6","123,2","124,4","126,8","127,8","127,8","126,6","124,6","125,4","125,5","130,4","131,6","134,1","135,1","139,3","140,6","139,9","136,0","130,3","130,8","132,2","131,8","129,5","128,7","131,1","130,1","127,2","126,1","128,7","129,9","131,3","130,2","131,5","130,4","130,9","127,0","124,6","121,3","118,6","114,7","112,4","107,9","104,0","102,1","98,1","99,2"
Belgium,30-34,"99,9","103,7","101,9","103,3","103,8","96,9","91,9","85,6","82,5","80,3","77,5","74,7","69,0","63,3","59,3","54,9","55,0","54,6","54,1","54,3","53,6","53,8","53,2","53,8","54,0","55,8","59,4","62,2","65,5","68,9","72,1","75,2","77,5","77,5","78,3","81,3","83,6","86,6","87,3","90,2","93,3","94,2","95,4","98,8","102,7","106,8","110,4","112,4","115,0","115,3","118,5","116,0","116,2","115,9","116,0","114,1","114,8","114,8","115,9","114,9","111,9","119,6"
Belgium,35-39,"50,1","51,7","50,7","50,6","51,1","47,7","44,5","41,7","38,4","36,8","35,9","34,1","30,5","26,3","23,1","20,7","19,0","18,6","17,4","17,5","17,0","16,0","15,8","15,3","15,1","15,7","16,5","17,1","18,7","20,4","21,0","22,6","23,2","23,4","24,0","24,3","26,2","27,2","27,9","28,7","30,9","31,6","31,7","33,7","36,3","38,9","41,4","43,5","45,4","45,3","47,8","47,8","49,2","50,1","51,2","51,2","51,3","51,4","51,2","52,2","49,9","53,3"
Belgium,40-44,"17,3","17,8","16,8","15,8","14,8","13,6","12,6","11,2","10,8","10,3","10,0","9,4","8,3","7,3","6,1","5,2","4,6","4,2","3,7","3,4","3,4","3,2","3,0","2,9","3,0","3,0","3,0","3,0","3,1","3,1","3,3","3,6","3,6","3,9","4,0","3,9","4,0","4,0","4,2","4,4","5,0","5,3","5,5","5,6","6,4","6,7","7,1","7,6","8,0","8,2","9,1","9,1","9,5","9,7","10,4","10,2","10,5","11,3","11,7","11,9","11,7","12,2"
Belgium,45-49,"1,1","1,0","0,9","0,8","0,9","1,0","1,1","1,0","0,8","0,8","0,6","0,6","0,6","0,5","0,4","0,3","0,3","0,3","0,3","0,3","0,3","0,2","0,3","0,2","0,2","0,3","0,3","0,2","0,3","0,3","0,3","0,3","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,3","0,2","0,3","0,3","0,3","0,4","0,4","0,5","0,5","0,4","0,4","0,4","0,5","0,5","0,6","0,7","0,7","0,7","0,8","0,9","0,8","0,9"
Canada,15-19,"59,8","58,2","55,1","53,1","50,2","49,3","48,2","45,2","43,0","42,2","42,8","40,1","38,5","37,2","35,3","35,3","33,4","32,0","29,7","27,9","27,6","26,4","26,5","24,9","24,4","23,7","23,2","23,2","23,5","25,6","26,6","25,9","25,6","24,9","25,0","24,4","22,1","20,0","19,8","18,6","17,0","16,0","14,9","14,4","13,5","13,2","13,4","13,9","14,1","14,1","13,2","12,3","12,1","11,2","10,3","9,4","8,4","7,8","6,7","6,2","5,7","4,9"
Canada,20-24,"233,5","233,6","231,6","226,0","212,8","188,6","169,1","161,4","152,6","147,7","143,3","134,4","119,8","117,7","113,1","112,7","110,3","108,0","103,1","101,8","100,1","96,7","95,4","92,4","88,8","85,3","84,8","81,5","81,8","84,7","85,5","79,2","76,5","74,9","73,8","72,2","68,7","64,6","64,1","61,8","59,0","56,5","54,2","53,0","51,2","50,7","51,4","52,6","53,2","51,5","48,3","46,1","44,6","42,8","42,4","40,9","39,4","37,1","34,1","31,9","29,7","27,1"
Canada,25-29,"224,4","219,2","214,6","210,6","203,1","181,9","163,5","152,6","148,7","149,8","147,2","142,0","137,1","131,6","131,1","131,2","129,9","129,8","128,1","130,8","129,4","126,9","124,7","124,6","126,0","125,3","124,6","123,0","125,0","128,8","132,2","122,1","121,2","117,4","116,8","113,2","109,6","104,7","102,8","101,6","98,8","100,4","97,9","99,6","98,7","99,0","100,5","101,9","102,4","101,3","97,3","96,3","96,3","94,1","93,9","92,2","91,1","87,2","83,9","81,0","76,5","76,7"
Canada,30-34,"146,2","144,9","143,1","140,3","134,9","119,4","103,3","91,8","86,3","85,0","81,8","77,3","72,1","67,1","66,6","64,4","65,6","67,1","67,1","69,1","69,3","68,0","68,6","70,5","73,3","74,6","75,6","76,3","78,7","83,7","88,1","84,4","86,1","86,0","87,0","88,1","87,2","84,9","85,2","86,6","86,3","91,4","91,3","94,6","97,4","99,4","103,3","106,1","107,6","107,4","106,3","106,6","107,7","108,1","109,0","109,4","110,2","108,0","106,7","105,5","101,6","106,4"
Canada,35-39,"84,2","81,1","77,1","75,8","72,0","65,9","57,5","50,9","44,8","42,6","39,0","33,6","28,9","25,7","23,0","21,6","21,1","20,5","19,5","19,5","19,4","19,4","20,2","20,5","21,5","21,8","22,6","23,7","25,4","27,0","28,8","28,4","29,0","29,7","30,5","31,5","32,6","32,6","32,9","33,7","34,0","35,7","36,4","38,8","40,4","42,6","45,8","48,5","50,2","50,7","51,7","52,4","53,4","53,7","54,8","55,9","56,6","57,1","57,2","57,3","55,2","57,8"
Canada,40-44,"28,5","28,5","27,6","25,9","25,1","22,0","19,1","15,9","13,8","12,5","11,3","9,4","7,8","6,4","5,5","4,8","4,3","3,6","3,6","3,4","3,1","3,2","3,1","3,0","3,0","3,0","3,2","3,4","3,7","3,8","4,0","3,9","4,2","4,4","4,7","4,9","5,1","5,2","5,3","5,6","5,9","6,1","6,2","6,5","6,9","7,1","7,4","7,9","8,5","9,3","9,9","10,3","10,6","10,7","10,9","11,4","11,4","11,7","12,1","12,4","12,3","12,2"
Canada,45-49,"2,4","2,4","2,1","2,1","2,1","2,0","1,7","1,5","1,4","1,1","0,9","0,6","0,6","0,4","0,4","0,4","0,3","0,3","0,3","0,2","0,2","0,2","0,2","0,2","0,1","0,1","0,1","0,2","0,2","0,1","0,1","0,2","0,1","0,2","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,3","0,3","0,3","0,3","0,4","0,4","0,4","0,4","0,5","0,5","0,6","0,6","0,7","0,7","0,8","0,8","0,8","0,8","0,8"
Chile,15-19,"74,3","76,8","76,5","79,4","78,0","78,1","76,1","74,2","69,1","66,9","67,2","71,2","75,6","75,0","73,0","70,3","66,6","62,9","63,7","62,2","64,1","66,0","63,5","57,6","59,5","55,1","56,7","56,5","59,7","63,1","64,3","62,8","62,1","62,1","62,9","62,5","63,3","64,2","64,7","62,2","61,0","59,0","54,5","49,5","49,9","50,2","52,3","54,9","57,0","57,1","55,3","53,2","50,8","46,4","44,1","38,8","31,8","26,5","22,5","18,7","15,3",..
Chile,20-24,"218,5","216,1","217,6","223,7","218,8","212,5","206,4","202,9","196,2","185,6","182,0","183,9","184,5","179,7","166,3","152,9","145,5","137,7","138,8","141,6","146,1","155,0","152,4","141,4","143,8","136,1","138,4","138,3","140,8","138,6","135,2","125,9","121,5","119,8","120,3","116,6","114,5","109,2","104,5","98,1","94,3","91,7","89,9","87,3","85,5","83,7","82,6","83,6","84,5","86,7","85,2","84,0","82,3","76,7","78,2","74,5","68,4","63,6","62,9","56,5","50,2",..
Chile,25-29,"239,4","245,3","242,3","231,9","229,7","225,4","216,7","200,3","186,9","173,5","170,6","173,4","175,4","170,9","166,1","150,8","139,8","125,0","120,0","118,6","123,8","130,5","133,8","126,0","127,6","128,9","133,2","135,2","141,6","143,1","143,0","136,6","129,3","122,8","117,4","109,6","107,1","104,8","104,7","103,6","103,8","101,1","96,7","93,2","90,6","88,0","85,7","91,3","93,1","95,4","92,0","89,1","85,2","86,2","90,5","88,3","83,4","77,9","78,3","72,8","65,9",..
